stop_id,stop_name,stop_lat,stop_lon,Zipcode
21285,Hwy 78 & Olive St,33.048091,-116.871206,92065
21286,Broadway & Sherman Pl,33.12412,-117.082687,92025
21291,Basilone Rd & San Juan St,33.394164,-117.514206,92055
21292,Las Pulgas Rd & Bldg 43260 (Gas Station),33.341259,-117.410716,92055
21309,Coast Hwy & Oceanside Blvd,33.183462,-117.368994,92054
21311,Coast Hwy & Morse St,33.177699,-117.364126,92054
21317,Mesa Dr & Crouch St,33.20579,-117.353534,92054
21319,9th St & Vandegrift Bl,33.295451,-117.353472,92055
21324,10th St & Bldg 22114,33.294037,-117.350224,92055
21334,Pio Pico Dr & Chestnut Av,33.15774,-117.338986,92008
21335,Fireside St & Heritage St,33.22519,-117.33811,92058
21337,Fireside St & Los Arbolitos Bl,33.228467,-117.337078,92058
21343,Carlsbad Bl & Solamar Dr,33.120136,-117.326429,92011
21352,El Camino Real & Hosp Way,33.17396,-117.32414,92010
21353,Santa Margarita & Forrestal Rd,33.334045,-117.327648,92055
21355,Avenida De Anita & Flower Fields Way,33.176976,-117.322547,92010
21356,Douglas Dr & N River Rd,33.244819,-117.322409,92057
21357,Avenida De Anita & Via Vera,33.173398,-117.320575,92010
21358,Rancho Del Oro Dr & San Ramon Dr,33.222116,-117.320107,92057
21359,Rancho Del Oro Dr & Via Rancho Rd,33.218974,-117.318992,92057
21365,Vandegrift Bl & Mcx Rd,33.301722,-117.312599,92055
21366,Hwy 101 & La Costa Av,33.08117,-117.307742,92024
21368,Rancho Del Oro Rd & Tournament Dr,33.186495,-117.308907,92056
